,COP NEEP 50,,,,,,,,,,,
415,2.319999999,,,,,,,,,,,
416,2.372799999,,,,,,,,,,,
417,2.444799997,,,,,,,,,,,
418,2.587599998,,,,,,,,,,,
419,2.679999998,,,,,,,,,,,
420,2.772399999,,,,,,,,,,,
421,2.864799999,,,,,,,,,,,
422,2.864799999,,,,,,,,,,,
423,2.864799999,,,,,,,,,,,
424,2.864799999,,,,,,,,,,,
425,2.772399999,,,,,,,,,,,
426,2.730399999,,,,,,,,,,,
427,2.730399999,,,,,,,,,,,
428,2.772399999,,,,,,,,,,,
429,2.772399999,,,,,,,,,,,
430,2.772399999,,,,,,,,,,,
431,2.730399999,,,,,,,,,,,
432,2.730399999,,,,,,,,,,,
433,2.730399999,,,,,,,,,,,
434,2.679999998,,,,,,,,,,,
435,2.679999998,,,,,,,,,,,
436,2.629599998,,,,,,,,,,,
437,2.629599998,,,,,,,,,,,
438,2.629599998,,,,,,,,,,,
439,2.679999998,,,,,,,,,,,
440,2.772399999,,,,,,,,,,,
441,2.864799999,,,,,,,,,,,
442,3.0076,,,,,,,,,,,
443,3.1,,,,,,,,,,,
444,3.1504,,,,,,,,,,,
445,3.242800001,,,,,,,,,,,
446,3.242800001,,,,,,,,,,,
447,3.242800001,,,,,,,,,,,
448,3.1924,,,,,,,,,,,
449,3.1504,,,,,,,,,,,
450,3.1504,,,,,,,,,,,
451,3.1924,,,,,,,,,,,
452,3.242800001,,,,,,,,,,,
453,3.284800001,,,,,,,,,,,
454,3.284800001,,,,,,,,,,,
455,3.242800001,,,,,,,,,,,
456,3.1924,,,,,,,,,,,
457,3.1924,,,,,,,,,,,
458,3.1924,,,,,,,,,,,
459,3.1924,,,,,,,,,,,
460,3.1924,,,,,,,,,,,
461,3.1924,,,,,,,,,,,
462,3.1504,,,,,,,,,,,
463,3.1,,,,,,,,,,,
464,3.1924,,,,,,,,,,,
465,3.284800001,,,,,,,,,,,
466,3.335200001,,,,,,,,,,,
467,3.469600001,,,,,,,,,,,
468,3.520000002,,,,,,,,,,,
469,3.570400002,,,,,,,,,,,
470,3.612400002,,,,,,,,,,,
471,3.570400002,,,,,,,,,,,
472,3.469600001,,,,,,,,,,,
473,3.284800001,,,,,,,,,,,
474,3.242800001,,,,,,,,,,,
475,3.1504,,,,,,,,,,,
476,3.1504,,,,,,,,,,,
477,3.1504,,,,,,,,,,,
478,3.0496,,,,,,,,,,,
479,3.1504,,,,,,,,,,,
480,3.242800001,,,,,,,,,,,
481,3.284800001,,,,,,,,,,,
482,3.335200001,,,,,,,,,,,
483,3.284800001,,,,,,,,,,,
484,3.284800001,,,,,,,,,,,
485,3.242800001,,,,,,,,,,,
486,3.284800001,,,,,,,,,,,
487,3.335200001,,,,,,,,,,,
488,3.335200001,,,,,,,,,,,
489,3.335200001,,,,,,,,,,,
490,3.335200001,,,,,,,,,,,
491,3.427600001,,,,,,,,,,,
492,3.469600001,,,,,,,,,,,
493,3.520000002,,,,,,,,,,,
494,3.520000002,,,,,,,,,,,
495,3.570400002,,,,,,,,,,,
496,3.469600001,,,,,,,,,,,
497,3.427600001,,,,,,,,,,,
498,3.427600001,,,,,,,,,,,
499,3.377200001,,,,,,,,,,,
500,3.377200001,,,,,,,,,,,
501,3.377200001,,,,,,,,,,,
502,3.377200001,,,,,,,,,,,
503,3.377200001,,,,,,,,,,,
504,3.377200001,,,,,,,,,,,
505,3.377200001,,,,,,,,,,,
506,3.427600001,,,,,,,,,,,
507,3.427600001,,,,,,,,,,,
508,3.469600001,,,,,,,,,,,
509,3.469600001,,,,,,,,,,,
510,3.469600001,,,,,,,,,,,
511,3.469600001,,,,,,,,,,,
512,3.520000002,,,,,,,,,,,
513,3.662800002,,,,,,,,,,,
514,3.797200003,,,,,,,,,,,
515,3.940000003,,,,,,,,,,,
516,4.032400004,,,,,,,,,,,
517,4.124800004,,,,,,,,,,,
518,4.082800004,,,,,,,,,,,
519,4.032400004,,,,,,,,,,,
520,3.940000003,,,,,,,,,,,
521,3.940000003,,,,,,,,,,,
522,3.940000003,,,,,,,,,,,
523,3.940000003,,,,,,,,,,,
524,3.847600003,,,,,,,,,,,
525,3.889600003,,,,,,,,,,,
526,3.797200003,,,,,,,,,,,
527,3.847600003,,,,,,,,,,,
528,3.797200003,,,,,,,,,,,
529,3.520000002,,,,,,,,,,,
530,3.612400002,,,,,,,,,,,
531,3.427600001,,,,,,,,,,,
532,3.469600001,,,,,,,,,,,
533,3.427600001,,,,,,,,,,,
534,3.335200001,,,,,,,,,,,
535,3.335200001,,,,,,,,,,,
536,3.335200001,,,,,,,,,,,
537,3.335200001,,,,,,,,,,,
538,3.377200001,,,,,,,,,,,
539,3.377200001,,,,,,,,,,,
540,3.377200001,,,,,,,,,,,
541,3.335200001,,,,,,,,,,,
542,3.284800001,,,,,,,,,,,
543,3.242800001,,,,,,,,,,,
544,3.1504,,,,,,,,,,,
545,3.1,,,,,,,,,,,
546,3.1,,,,,,,,,,,
547,3.0496,,,,,,,,,,,
548,3.0496,,,,,,,,,,,
549,3.0076,,,,,,,,,,,
550,2.957199999,,,,,,,,,,,
551,2.957199999,,,,,,,,,,,
552,3.0076,,,,,,,,,,,
553,2.957199999,,,,,,,,,,,
554,2.957199999,,,,,,,,,,,
555,2.915199999,,,,,,,,,,,
556,2.915199999,,,,,,,,,,,
557,2.915199999,,,,,,,,,,,
558,2.957199999,,,,,,,,,,,
559,2.864799999,,,,,,,,,,,
560,2.864799999,,,,,,,,,,,
561,2.864799999,,,,,,,,,,,
